service_name,package_name,topic_name,topic_code,topic_description,task_title,task_description,task_weight_percent,task_priority,task_status,task_start_offset_days,task_duration_days,task_sort_order,item_title,item_description,item_weight_percent,item_priority,item_status,item_start_offset_days,item_duration_days,item_sort_order
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Nghiên cứu từ khóa,,50,medium,todo,0,3,1
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Cài đặt công cụ,,25,medium,todo,0,3,2
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Onpage & Content,,45,medium,todo,0,7,2,Kế hoạch content,,11,medium,todo,0,3,1
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Onpage & Content,,45,medium,todo,0,7,2,Bài SEO,,45,medium,todo,0,3,2
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Onpage & Content,,45,medium,todo,0,7,2,GuestPost,,22,medium,todo,0,3,3
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Onpage & Content,,45,medium,todo,0,7,2,Internal link,,11,medium,todo,0,3,4
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Onpage & Content,,45,medium,todo,0,7,2,CTA,,11,medium,todo,0,3,5
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Offpage,,35,medium,todo,0,7,3,Backlink báo,,44,medium,todo,0,3,1
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Offpage,,35,medium,todo,0,7,3,Backlink forum,,28,medium,todo,0,3,2
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Offpage,,35,medium,todo,0,7,3,Backlink VIP,,14,medium,todo,0,3,3
Chăm sóc website,STARTER,Chăm sóc website - STARTER,CHAM_SOC_WEBSITE_STARTER,Barem tự sinh từ markdown cho Chăm sóc website - STARTER,Offpage,,35,medium,todo,0,7,3,Index,,14,medium,todo,0,3,4
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Từ khóa,,40,medium,todo,0,3,1
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Đối thủ,,25,medium,todo,0,3,2
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Kế hoạch SEO,,15,medium,todo,0,3,3
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Setup tool,,10,medium,todo,0,3,4
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Kế hoạch content,,10,medium,todo,0,3,1
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Bài SEO,,40,medium,todo,0,3,2
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Onpage & Content,,40,medium,todo,0,7,2,GuestPost,,25,medium,todo,0,3,3
